aptitude_score,subject_score,time_management_score,mock_average_score,consistency_score,readiness_score
37.94008051816344,41.82608391602153,74.05655072808538,20.93995971057107,29.979052585006386,41.93874845477817
31.160527131608006,92.09052795431626,20.00522406321241,85.72900859126574,57.72920270215503,57.732530572592204
46.16795792157328,59.31877636955988,50.32748886520976,76.19884078765463,60.58071815138949,57.73502131849512
82.3214837720079,86.43060257988355,64.36916531123458,32.12457486839113,27.33069217361902,64.21983884125991
68.67550683496705,80.34683332065921,59.679410879275174,55.132498198391374,61.05176200782453,66.32314305522233
73.43580310202066,79.93395893995068,90.21357442643955,33.37256691963915,93.52309599892509,72.41197837960108
86.52992793288014,53.291346585729016,29.320925157071265,92.81833910417515,92.52944856475114,68.63611633837668
43.16507978424291,46.09111906490651,92.28508073789926,68.94346980663911,70.35790199815807,61.59555002101084
59.252951369260465,78.19880457457279,39.811498506217006,35.45293473633918,92.30103774994944,58.6459294094645
33.59848180519411,54.259342904046534,38.03154790027669,74.49069870431202,33.908402242801884,47.859745722508094
64.50462183836783,44.11630860525922,32.33428193022818,80.97366311221222,41.790374189297296,53.995859038324575
83.13850851981678,67.858503741097,24.381381838388414,79.3520719669252,90.20060606403514,67.51600443269469
90.79497476145477,85.96280026790492,59.68912834890133,21.778847100202025,46.95396897623498,65.1784357447841
69.4156288294707,35.68574095041015,74.26565900410264,67.77574754655957,83.67960872535163,63.05158462763782
30.283527922555216,49.23394814754251,46.64339931822291,38.002502631094025,90.21527673809854,45.83007708119767
69.62847089758353,74.93707077068315,83.63257168547204,76.09494236115823,31.916280718787327,71.27851629827147
65.46616751206247,44.791807489774754,23.82859181632686,45.69255502193144,28.956589994190132,44.36438211752998
46.022549913108705,51.129657339404396,31.65479083606799,37.33008623905736,61.229674110421655,44.20799463919552
86.18627647904691,76.26707396894355,72.69156211526311,43.233516167049956,33.97812242569908,67.19616551103015
61.019716229484395,63.22053144412509,48.102304589492306,75.8242177661591,93.8410600097658,65.22947239050924
33.302608347747416,36.50559669556383,28.28066462881592,51.04711390278089,64.28279545316326,39.74588651246351
54.837480010209006,26.035340743785618,44.332458361925674,26.631008364779138,62.02374204006738,40.61327273784636
89.6488339018589,33.41667899319326,70.63702426200231,33.75394253893867,62.865194338217094,57.93109101777294
94.26586499323362,58.52880403732261,36.60245320043788,70.31415275454272,25.578298250670443,62.139818273702225
83.23321392049664,74.28946053310106,67.510063604777,43.06739803334565,29.503125373041897,64.44647347832814
92.22254171064398,37.1547239342742,53.30772437999046,89.4829931035518,79.5674656261265,68.85920647055065
44.838267490585224,52.57323669718182,25.827246356287983,89.46865960001914,39.16049793469661,51.32810703167284
75.13750133259427,65.83371869922274,83.89715235008427,90.0666729347944,53.23030870233124,75.35860093516311
32.642604814024736,81.57001679610357,54.62838249166153,57.982902242042954,20.147770399849662,53.090189389257944
48.0868317762756,71.49036100371978,94.61305174074013,26.063300459179054,58.42037978941526,59.87160661392421
54.43542732772933,40.54200483060957,23.27378366793447,52.97978477800697,36.748761358087776,42.66994786458179
68.33653993226393,80.41378785383935,88.77124965072548,51.5405663918843,25.705775315360178,67.8205226865838
40.629401324109104,87.16537484442867,30.442663472020087,22.805388610348842,47.541736112356276,47.352478069843855
39.964137118875804,30.269229616038405,41.57967410085712,94.60618201535024,49.85265435871135,49.78077834284117
55.15743384775681,55.153270026368446,25.481941070019104,38.94845244540838,68.44678280066749,47.30843295168357
68.78177790448288,56.062427405921945,92.84755185943115,51.56838767882603,57.905251052104916,65.88476434046314
